A_pos_peak_time,MAX_pos_peak_time,MIN_pos_peak_time,A_neg_peak_time,MAX_neg_peak_time,MIN_neg_peak_time,A_close time,MAX_close time,MIN_close time,A_open time,MAX_open time,MIN_open time,A_blink time,MAX_blink time,MIN_blink time,A_peak ratio,MAX_peak ratio,MIN_peak ratio,A_peak dist ratio,MAX_peak dist ratio,MIN_peak dist ratio,A_area ratio,MAX_area ratio,MIN_area ratio,Label
36.8,43.6,76.4,117.6,194.0,2.34,0.43,1.68,42.0,52.0,96.0,138.0,234.0,3.07,0.44,2.15,32.0,28.0,62.0,80.0,144.0,1.94,0.39,1.35,1.0
41.2,43.2,84.4,140.0,224.4,2.48,0.38,1.58,46.0,48.0,96.0,154.0,250.0,2.92,0.42,1.82,36.0,36.0,78.0,128.0,206.0,2.08,0.33,1.37,1.0
45.6,48.0,84.0,136.4,220.4,2.55,0.39,1.72,54.0,58.0,94.0,156.0,236.0,3.17,0.42,1.91,38.0,36.0,74.0,118.0,192.0,1.89,0.36,1.43,1.0
36.8,48.0,79.2,128.0,207.2,2.3,0.44,1.64,48.0,54.0,102.0,142.0,244.0,2.66,0.51,2.03,26.0,44.0,64.0,118.0,182.0,1.88,0.42,1.07,1.0
39.2,48.0,82.8,126.8,209.6,2.12,0.44,1.5,50.0,62.0,96.0,154.0,250.0,2.65,0.52,1.88,32.0,40.0,68.0,96.0,188.0,1.76,0.38,1.07,1.0
44.0,40.0,75.6,125.6,201.2,2.35,0.36,1.57,62.0,46.0,96.0,140.0,214.0,3.0,0.39,1.77,36.0,32.0,66.0,112.0,190.0,1.75,0.31,1.38,1.0
40.0,41.6,81.2,128.0,209.2,2.28,0.39,1.52,46.0,52.0,100.0,144.0,244.0,2.49,0.43,1.72,36.0,32.0,74.0,116.0,190.0,2.01,0.34,1.28,1.0
44.4,47.2,86.8,125.6,212.4,2.47,0.42,1.85,58.0,56.0,102.0,136.0,238.0,2.77,0.45,2.08,36.0,40.0,80.0,108.0,188.0,2.23,0.38,1.7,1.0
40.4,45.6,83.6,112.0,195.6,2.53,0.45,2.05,44.0,52.0,102.0,136.0,234.0,3.65,0.49,2.62,34.0,38.0,72.0,92.0,164.0,1.89,0.42,1.72,1.0
34.4,42.4,72.8,105.2,178.0,3.4,0.45,2.49,42.0,52.0,88.0,142.0,230.0,4.71,0.52,3.7,28.0,26.0,60.0,74.0,138.0,2.24,0.36,1.41,1.0
39.2,46.4,81.6,112.4,194.0,2.6,0.46,2.09,46.0,58.0,90.0,126.0,216.0,3.01,0.51,2.25,32.0,38.0,72.0,98.0,180.0,2.27,0.42,1.95,1.0
35.6,40.0,71.2,110.0,181.2,2.65,0.42,1.94,44.0,50.0,82.0,124.0,206.0,3.19,0.46,2.46,28.0,32.0,58.0,98.0,158.0,2.09,0.37,1.6,1.0
40.4,43.2,82.8,121.2,204.0,2.19,0.42,1.74,50.0,52.0,100.0,146.0,226.0,2.45,0.46,2.06,34.0,34.0,74.0,82.0,156.0,1.96,0.37,1.31,1.0
40.8,45.6,81.2,123.6,204.8,2.25,0.42,1.72,46.0,60.0,88.0,138.0,226.0,2.57,0.49,1.93,34.0,38.0,74.0,104.0,178.0,2.01,0.38,1.55,1.0
38.4,44.4,84.4,136.4,220.8,2.52,0.41,1.75,46.0,50.0,90.0,146.0,236.0,2.83,0.48,1.82,32.0,40.0,78.0,128.0,206.0,2.32,0.36,1.67,1.0
45.6,42.0,79.2,118.0,197.2,2.59,0.38,1.99,48.0,52.0,90.0,130.0,220.0,2.97,0.43,2.24,42.0,38.0,72.0,106.0,178.0,2.03,0.36,1.68,1.0
40.8,50.0,91.2,145.6,236.8,2.57,0.42,1.71,44.0,56.0,100.0,160.0,256.0,3.0,0.44,1.84,36.0,42.0,88.0,126.0,216.0,2.02,0.39,1.5,1.0
41.6,46.4,86.0,124.0,210.0,2.55,0.43,1.91,46.0,60.0,104.0,146.0,250.0,3.42,0.51,2.35,38.0,40.0,80.0,98.0,180.0,2.05,0.38,1.63,1.0
38.0,45.2,81.2,128.8,210.0,2.68,0.42,1.83,42.0,54.0,92.0,136.0,220.0,2.92,0.45,2.05,34.0,42.0,74.0,124.0,198.0,1.97,0.37,1.21,1.0
48.0,43.6,89.2,122.4,211.6,2.55,0.4,2.15,64.0,52.0,96.0,144.0,236.0,2.96,0.51,2.8,34.0,38.0,80.0,90.0,186.0,2.09,0.36,1.61,1.0
39.6,43.2,80.8,115.6,196.4,2.53,0.43,1.88,46.0,52.0,86.0,136.0,214.0,3.26,0.48,2.44,36.0,34.0,78.0,92.0,170.0,1.81,0.33,1.41,1.0
40.8,36.0,73.6,108.8,182.4,2.16,0.37,1.75,44.0,44.0,86.0,128.0,214.0,2.57,0.4,2.12,38.0,30.0,62.0,92.0,154.0,1.44,0.32,1.18,1.0
49.6,39.2,79.2,148.0,227.2,2.52,0.3,1.55,58.0,44.0,86.0,164.0,250.0,2.94,0.36,1.68,40.0,34.0,74.0,138.0,214.0,1.76,0.26,1.3,2.0
52.8,35.2,87.6,160.0,247.6,2.4,0.28,1.49,68.0,44.0,100.0,182.0,264.0,2.78,0.31,1.57,44.0,28.0,78.0,138.0,222.0,1.99,0.25,1.28,2.0
